Pot	Type	LenWid
16533	1	1.67
16533	1	1.53
16533	1	1.61
16533	2	2.18
16533	2	2.23
16533	2	2.32
16534	1	1.68
16534	1	1.7
16534	1	1.49
16534	2	2
16534	2	2.12
16534	2	2.18
16550	1	1.38
16550	1	1.76
16550	1	1.52
16550	2	2.41
16550	2	2.11
16550	2	2.6
16668	1	1.66
16668	1	1.48
16668	1	1.69
16668	2	1.93
16668	2	2
16668	2	2
16767	1	1.38
16767	1	1.61
16767	1	1.64
16767	2	2.32
16767	2	2.23
16767	2	1.9
16768	1	1.7
16768	1	1.71
16768	1	1.71
16768	2	2.48
16768	2	2.11
16768	2	2
16770	1	1.58
16770	1	1.59
16770	1	1.38
16770	2	2
16770	2	2.18
16770	2	2.16
16771	1	1.49
16771	1	1.52
16771	1	1.68
16771	2	1.94
16771	2	2.13
16771	2	2.29
16773	1	1.48
16773	1	1.44
16773	1	1.58
16773	2	1.93
16773	2	1.95
16773	2	2.1
16775	1	1.28
16775	1	1.45
16775	1	1.5
16775	2	1.77
16775	2	2.03
16775	2	2.08
16776	1	1.55
16776	1	1.45
16776	1	1.44
16776	2	2.06
16776	2	1.85
16776	2	1.92
16777	1	1.29
16777	1	1.57
16777	1	1.44
16777	2	2
16777	2	1.94
16777	2	1.8
16780	1	1.36
16780	1	1.22
16780	1	1.41
16780	2	1.87
16780	2	1.87
16780	2	2.26
16781	1	1.47
16781	1	1.43
16781	1	1.61
16781	2	2.24
16781	2	2
16781	2	2.23
16787	1	1.52
16787	1	1.56
16787	1	1.56
16787	2	1.79
16787	2	2.08
16787	2	1.89
16789	1	1.37
16789	1	1.38
16789	1	1.4
16789	2	1.85
16789	2	2.1
16789	2	2
