temp	mass	metabolism	activity	longevity
20	0.0053475	0.006209339	0.00408803	16.75
20	0.00535	0.007019945	0.004228644	17.75
20	0.00491	0.005770204	0.005910644	16.5
20	0.004865	0.006541586	0.005792739	8.25
20	0.00461	0.006001528	0.003031616	19.5
20	0.00459	0.005498386	0.001248922	16.5
20	0.00645	0.007733127	0.002994787	24.5
20	0.0062475	0.007718681	0.001310697	23
20	0.005385	0.007560844	0.001142266	10
20	0.00452	0.006585158	0.008877561	16.25
20	0.004564	0.005285048	0.002425968	8
20	0.00563	0.006451009	0.001075767	10
20	0.00514	0.005876948	0.00221522	9
20	0.00481	0.006023835	0.002357361	8.75
20	0.004828	0.005689436	0.005841626	20.4
20	0.004835	0.006416208	0.009880596	20.5
20	0.0043175	0.005557905	0.007057052	13
20	0.0045625	0.005392678	0.003709615	25.5
20	0.0048775	0.005529656	0.002306142	14.75
20	0.0048075	0.005630669	0.00106201	21.25
20	0.004588	0.005099951	0.007786556	23
20	0.0041	0.005373953	0.007680804	9.25
20	0.0048775	0.006450723	0.001565826	10.25
20	0.004815	0.005740545	0.009317133	14.75
20	0.005205	0.006724512	0.008994717	11.25
20	0.00469	0.00488963	0.004483716	18
20	0.0050575	0.006734362	0.004028723	8.5
20	0.00496	0.006801281	0.008390643	16.5
20	0.00493	0.007056052	0.012646029	10.5
20	0.00492	0.006306978	0.005398887	20
20	0.00482	0.00553029	0.009053461	8.8
20	0.0047475	0.005759749	0.011868929	16.75
20	0.0055425	0.00780361	0.00925895	11.75
20	0.00483	0.005486628	0.010270368	12.2
20	0.004072	0.004613384	0.005319094	10.4
20	0.00399	0.004624671	0.010775657	16
20	0.0038975	0.004935304	0.006527621	11.5
20	0.0048375	0.005922506	0.009775091	10.75
20	0.004845	0.006136829	0.003101111	15.75
20	0.003938	0.004479086	0.002959339	10.2
20	0.004415	0.005339265	0.004776043	10
20	0.0049	0.006094611	0.003889175	9.75
20	0.0049675	0.005530833	0.011620524	16.33333333
20	0.006245	0.007128819	0.001169504	19
20	0.00571	0.006818659	0.003782044	9.8
20	0.0061175	0.007231082	0.003539753	21.25
20	0.0045275	0.005716238	0.009809447	12
20	0.0049975	0.005833552	0.003511554	17.5
20	0.0045525	0.004873699	0.006724368	12
20	0.00529	0.006349444	0.013430715	10.25
20	0.004345	0.005630285	0.005865457	10.25
20	0.0050475	0.006245074	0.00676921	9.75
20	0.0040725	0.005132851	0.002807817	9.75
20	0.00399	0.005129487	0.006376669	12
20	0.0055225	0.007569395	0.012583416	9.75
20	0.00556	0.00667643	0.004396597	12
20	0.00486	0.00585533	0.005141458	9.25
20	0.00479	0.006302191	0.003989996	19.5
20	0.00422	0.005698922	0.007805341	11.25
20	0.00468	0.005744751	0.002015373	17.25
20	0.0043975	0.005706916	0.002412056	19.25
20	0.0057425	0.006650084	0.007210915	15.5
20	0.00572	0.007152366	0.003881236	16.25
20	0.00537	0.006781684	0.001084486	10.25
20	0.005135	0.005988839	0.004446432	20
20	0.005086	0.005809622	0.004510601	14
20	0.0054275	0.007207245	0.002380317	8.25
20	0.0055325	0.007433874	0.004200641	13
20	0.005812	0.007458911	0.007783574	7.2
20	0.005272	0.006184561	0.004336271	11.2
