crime.rate	violent.crime	police.funding	perc.highschool	perc.college
478	184	40	74	20
494	213	32	72	18
643	347	57	70	16
341	565	31	71	19
773	327	67	72	24
603	260	25	68	15
484	325	34	68	14
546	102	33	62	11
424	38	36	69	12
548	226	31	66	15
506	137	35	60	9
819	369	30	81	36
541	109	44	66	12
491	809	32	67	16
514	29	30	65	11
371	245	16	64	14
457	118	29	64	10
437	148	36	62	27
570	387	30	59	16
432	98	23	56	15
619	608	33	46	8
357	218	35	54	13
623	254	38	54	11
547	697	44	45	8
792	827	28	57	11
799	693	35	57	18
439	448	31	61	12
867	942	39	52	10
912	1017	27	44	9
462	216	36	43	8
859	673	38	48	10
805	989	46	57	12
652	630	29	47	9
776	404	32	50	9
919	692	39	48	11
732	1517	44	49	14
657	879	33	72	22
1419	631	43	59	13
989	1375	22	49	13
821	1139	30	54	12
1740	3545	86	62	15
815	706	30	47	11
760	451	32	45	10
936	433	43	48	12
863	601	20	69	12
783	1024	55	42	11
715	457	44	49	12
1504	1441	37	57	13
1324	1022	82	72	16
940	1244	66	67	16
