Pop	Food	Muscle_Width	Body_Width	Body_Length	Tail_length	Body_depth	Muscle_depth	Tail_depth
1	U	1.8	8.2	11.79	27.93	7.3	2.6	6.5
1	U	1.7	9	12.63	27.89	7.5	2.5	7.3
1	U	1.8	8.4	12.05	28.24	7	2.5	6.9
1	U	2.2	9.2	12.79	26.92	8.2	2.7	7.3
1	U	2.3	9.4	12.07	23.79	7.8	3.2	8.3
1	U	2	8.6	12.33	26.22	7.3	2.5	7
1	U	2	8	12.42	31.86	6.9	2.5	7
1	U	1.6	8	11.44	26.28	7.3	2.4	6.8
1	U	2	8.7	12.49	28.76	7.3	2.6	7.5
1	U	2.1	8	11.26	24.9	6.9	2.9	6.5
1	U	1.7	8.2	11.65	26.46	7.5	2.3	6.8
1	U	1.8	8	12.4	25.1	7.2	2.5	7.3
1	U	1.8	8.5	12.57	27.18	7.7	2.3	6.7
1	U	2	8.5	12.72	28.87	7.3	2.4	7.1
1	U	2.2	8	11.98	29.09	7.2	2.6	6.7
1	U	2	8.6	12.8	27.76	7.5	2.6	6.8
1	U	2	9.8	12.48	28.15	8.8	2.6	7.5
1	U	1.8	7.9	11.16	23.64	6.7	2.4	6.8
1	R	1.1	6.8	10.05	20.11	6.7	1.7	4.7
1	R	1.4	7.2	9.92	22.25	6.4	2	5.5
1	R	1.4	7	10.18	19.75	6.2	1.8	5.2
1	R	1.3	6.9	9.24	18.66	6.3	1.8	5.2
1	R	1.2	7.2	9.67	18.92	6.7	1.8	6
1	R	1.3	6.8	9.36	19.15	5.6	1.6	4.9
1	R	1.4	6.2	8.81	17.36	5.5	1.5	4.9
1	R	1.3	6.3	9.73	19.45	5.8	1.7	5.1
1	R	1.4	7.6	10.86	20.85	6.4	1.9	5.6
1	R	1.4	6.6	9.72	19.42	5.9	1.7	5.5
1	R	1.2	7.5	10.79	23.13	6.3	2	6.3
1	R	1.3	6.8	10.11	20.33	6.1	1.7	5.2
1	R	1.5	7	11.45	19.84	6.4	2.1	6.4
1	R	1.1	7	10.13	19.7	6.3	1.7	5.3
1	R	1.3	7	9.9	19.43	6.3	2	5.7
1	R	1.3	6.3	9.16	17.71	5.7	1.6	5
1	R	1.4	7.2	11.05	20.94	6.7	1.9	6
1	R	1.4	7.1	10.45	24.14	6.2	2.1	6.1
1	R	1.3	7	10.64	19.63	6.1	2.1	6
2	U	1.9	9	11.79	26.54	7.7	2.3	6.9
2	U	2.2	8.8	13.31	28.22	7.3	2.7	8.6
2	U	1.8	7.2	10.8	28.22	5.9	2.3	6.2
2	U	2.2	8	12.15	27.69	7	2.9	6.9
2	U	2.4	8.3	12.29	28.81	7.5	2.7	7.7
2	U	2.4	7.9	10.53	27.11	7	3	7.1
2	U	2	8	12.53	27.85	7	2.5	7.3
2	U	2	8	11.99	26.89	7.3	2.5	7.1
2	U	2	7.2	11.85	29.77	6.3	2.4	6.1
2	U	1.8	8.2	11.5	27.8	7	2.7	7.2
2	U	2.3	8.3	12.69	30.21	6.8	2.7	7.6
2	U	2.3	9.3	12.77	28.55	8	3.5	9.8
2	U	2.2	9.4	12.33	25.76	8.1	2.7	7.8
2	U	1.9	8.5	12.54	24.34	7	2.6	7.1
2	U	2.2	8.4	12.04	26.8	7.1	3.1	7.9
2	U	1.6	8.3	12.37	27.19	7.4	2.6	7.2
2	U	2.1	7.7	11.54	28.56	6.9	2.5	6.5
2	U	2	8.8	12.69	27.8	7.6	2.8	7.4
2	U	1.9	7	12.01	26.23	6.1	2.5	6.3
2	R	1.4	7.8	11.28	22.41	6.7	2	6.2
2	R	1.6	7.3	10.63	22.57	6.5	2	6.5
2	R	1.5	7.4	10.99	21.04	6.5	2	7
2	R	1.4	6.4	9.75	21.24	5.6	2	5.5
2	R	1.5	6.6	10.91	24.54	5.7	2	6
2	R	1.3	6.7	10.98	21.21	5.9	2	6.2
2	R	1.5	6.7	10.07	22.22	6	1.7	5.6
2	R	1.5	8	11.3	26.68	7	2.3	7.3
2	R	1.3	7.4	10.84	23.52	6.7	2.1	6.7
2	R	1.4	7.3	11.24	23.26	6.6	2.1	6.6
2	R	1.6	7	10.58	20.98	6.2	2	5.7
