observation	year	Month counted	variety	grown	stem	counter	seeds
1	2025	September	sukribe	green house	1	David	2
2	2025	September	sukribe	green house	1	David	2
3	2025	September	sukribe	green house	1	David	2
4	2025	September	sukribe	green house	1	David	4
5	2025	September	sukribe	green house	1	David	4
6	2025	September	sukribe	green house	1	David	1
7	2025	September	sukribe	green house	1	David	2
8	2025	September	sukribe	green house	1	David	2
9	2025	September	sukribe	green house	1	David	3
10	2025	September	sukribe	green house	1	David	1
11	2025	September	sukribe	green house	1	David	2
12	2025	September	sukribe	green house	1	David	2
13	2025	September	sukribe	green house	1	David	2
14	2025	September	sukribe	green house	1	David	2
15	2025	September	sukribe	green house	1	David	2
16	2025	September	sukribe	green house	1	David	2
17	2025	September	sukribe	green house	1	David	2
18	2025	September	sukribe	green house	1	David	2
19	2025	September	sukribe	green house	1	David	2
20	2025	September	sukribe	green house	1	David	2
21	2025	September	sukribe	green house	2	David	0
22	2025	September	sukribe	green house	2	David	2
23	2025	September	sukribe	green house	2	David	2
24	2025	September	sukribe	green house	2	David	2
25	2025	September	sukribe	green house	2	David	1
26	2025	September	sukribe	green house	2	David	2
27	2025	September	sukribe	green house	2	David	2
28	2025	September	sukribe	green house	2	David	1
29	2025	September	sukribe	green house	2	David	2
30	2025	September	sukribe	green house	2	David	1
31	2025	September	sukribe	green house	2	David	1
32	2025	September	sukribe	green house	2	David	1
33	2025	September	sukribe	green house	2	David	2
34	2025	September	sukribe	green house	2	David	2
35	2025	September	sukribe	green house	2	David	2
36	2025	September	sukribe	green house	2	David	2
37	2025	September	sukribe	green house	2	David	2
38	2025	September	sukribe	green house	2	David	2
39	2025	September	sukribe	green house	2	David	2
40	2025	September	sukribe	green house	2	David	2
41	2025	October	spulga	outdoor fence	3	David	4
42	2025	October	spulga	outdoor fence	3	David	4
43	2025	October	spulga	outdoor fence	3	David	4
44	2025	October	spulga	outdoor fence	3	David	2
45	2025	October	spulga	outdoor fence	3	David	4
46	2025	October	spulga	outdoor fence	3	David	2
47	2025	October	spulga	outdoor fence	3	David	4
48	2025	October	spulga	outdoor fence	3	David	3
49	2025	October	spulga	outdoor fence	3	David	4
50	2025	October	spulga	outdoor fence	3	David	2
51	2025	October	spulga	outdoor fence	3	David	3
52	2025	October	spulga	outdoor fence	3	David	3
53	2025	October	spulga	outdoor fence	3	David	4
54	2025	October	spulga	outdoor fence	3	David	4
55	2025	October	spulga	outdoor fence	3	David	3
56	2025	October	spulga	outdoor fence	3	David	3
57	2025	October	spulga	outdoor fence	3	David	2
58	2025	October	spulga	outdoor fence	3	David	4
59	2025	October	spulga	outdoor fence	3	David	3
60	2025	October	spulga	outdoor fence	3	David	3
61	2025	October	spulga	outdoor fence	4	Lovis	3
62	2025	October	spulga	outdoor fence	4	Lovis	3
63	2025	October	spulga	outdoor fence	4	Lovis	3
64	2025	October	spulga	outdoor fence	4	Lovis	2
65	2025	October	spulga	outdoor fence	4	Lovis	1
66	2025	October	spulga	outdoor fence	4	Lovis	2
67	2025	October	spulga	outdoor fence	4	Lovis	2
68	2025	October	spulga	outdoor fence	4	Lovis	3
69	2025	October	spulga	outdoor fence	4	Lovis	3
70	2025	October	spulga	outdoor fence	4	Lovis	2
71	2025	October	spulga	outdoor fence	4	Lovis	2
72	2025	October	spulga	outdoor fence	4	Lovis	2
73	2025	October	spulga	outdoor fence	4	Lovis	2
74	2025	October	spulga	outdoor fence	4	Lovis	2
75	2025	October	spulga	outdoor fence	4	Lovis	3
76	2025	October	spulga	outdoor fence	4	Lovis	4
77	2025	October	spulga	outdoor fence	4	Lovis	3
78	2025	October	spulga	outdoor fence	4	Lovis	3
79	2025	October	spulga	outdoor fence	4	Lovis	2
80	2025	October	spulga	outdoor fence	4	Lovis	3
