Sample.ID	adaptation	temperature	co2	water.loss	body.size	weight.loss	eggs
aphla13	heat.adapted	23	0.010226707	4.282451213	0.0161	0.0016	44
R8	cold.adapted	23	0.009278227	4.74839	0.0151	0.0018	36
Z15	heat.adapted	23	0.01059	5.645980167	0.0167	0.0013	43
aphla3	heat.adapted	23	0.010926667	5.729641867	0.0202	0.0018	44
Y13	heat.adapted	23	0.01003014	5.745328733	0.0175	0.0019	37
Z10	heat.adapted	23	0.01162	5.825504933	0.0179	0.0007	39
Z12	heat.adapted	23	0.009174667	5.939753133	0.019	0.0021	23
Z7	heat.adapted	23	0.009141873	6.2707364	0.0163	0.0016	34
P14	cold.adapted	23	0.009670667	6.461461533	0.0144	0.0014	39
Y15	heat.adapted	23	0.013836967	6.476219067	0.0187	0.0011	52
aphla10	heat.adapted	23	0.010215113	6.529001667	0.0173	0.0009	30
aphla15	heat.adapted	23	0.011226667	6.599995267	0.0185	0.0017	33
Z13	heat.adapted	23	0.011096307	6.6529092	0.0168	0.0019	35
Z5	heat.adapted	23	0.012893987	6.775527667	0.0194	0.0022	44
Y10	heat.adapted	23	0.010970933	6.8371086	0.0176	0.0013	38
Y4	heat.adapted	23	0.012630707	6.984168133	0.019	0.0012	42
Z16	heat.adapted	23	0.0125256	7.089565667	0.0197	0.001	32
aphla16	heat.adapted	23	0.011386013	7.120459533	0.019	0.0016	36
Y7	heat.adapted	23	0.010592667	7.1331748	0.0154	0.0017	38
gamma13	heat.adapted	23	0.010168	7.169368467	0.0157	1E-04	35
aphla19	heat.adapted	23	0.0121566	7.18168	0.0194	0.0014	51
O11	cold.adapted	23	0.010911573	7.2542208	0.0172	0.0015	46
Y12	heat.adapted	23	0.008672	7.297798867	0.0163	0.0013	39
Y9	heat.adapted	23	0.008013333	7.3443626	0.0163	0.001	40
Z4	heat.adapted	23	0.010772667	7.3773248	0.0182	0.0017	37
aphla9	heat.adapted	23	0.008128667	7.381027467	0.018	0.0019	37
