Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Zebrafish gene name	Zebrafish chromosome/scaffold name	Zebrafish chromosome/scaffold start (bp)	Zebrafish chromosome/scaffold end (bp)	Chicken gene name	Chicken chromosome/scaffold name	Chicken chromosome/scaffold start (bp)	Chicken chromosome/scaffold end (bp)
ENSG00000113368	ENSG00000113368.13	ENST00000460265	ENST00000460265.5	lmnb1	10	16036246	16056908	LMNB1	Z	57021023	57046581
ENSG00000113368	ENSG00000113368.13	ENST00000261366	ENST00000261366.10	lmnb1	10	16036246	16056908	LMNB1	Z	57021023	57046581
ENSG00000113368	ENSG00000113368.13	ENST00000504788	ENST00000504788.5	lmnb1	10	16036246	16056908	LMNB1	Z	57021023	57046581
ENSG00000113368	ENSG00000113368.13	ENST00000492190	ENST00000492190.5	lmnb1	10	16036246	16056908	LMNB1	Z	57021023	57046581
ENSG00000113368	ENSG00000113368.13	ENST00000472034	ENST00000472034.5	lmnb1	10	16036246	16056908	LMNB1	Z	57021023	57046581
ENSG00000113368	ENSG00000113368.13	ENST00000395354	ENST00000395354.1	lmnb1	10	16036246	16056908	LMNB1	Z	57021023	57046581
ENSG00000113368	ENSG00000113368.13	ENST00000463908	ENST00000463908.2	lmnb1	10	16036246	16056908	LMNB1	Z	57021023	57046581
ENSG00000113368	ENSG00000113368.13	ENST00000494185	ENST00000494185.1	lmnb1	10	16036246	16056908	LMNB1	Z	57021023	57046581
ENSG00000113368	ENSG00000113368.13	ENST00000899476	ENST00000899476.1	lmnb1	10	16036246	16056908	LMNB1	Z	57021023	57046581
ENSG00000113368	ENSG00000113368.13	ENST00000919398	ENST00000919398.1	lmnb1	10	16036246	16056908	LMNB1	Z	57021023	57046581
ENSG00000113368	ENSG00000113368.13	ENST00000919399	ENST00000919399.1	lmnb1	10	16036246	16056908	LMNB1	Z	57021023	57046581
ENSG00000171530	ENSG00000171530.16	ENST00000380377	ENST00000380377.9	tbca	21	7545062	7570765				
ENSG00000171530	ENSG00000171530.16	ENST00000518218	ENST00000518218.5	tbca	21	7545062	7570765				
ENSG00000171530	ENSG00000171530.16	ENST00000517679	ENST00000517679.5	tbca	21	7545062	7570765				
ENSG00000171530	ENSG00000171530.16	ENST00000306388	ENST00000306388.10	tbca	21	7545062	7570765				
ENSG00000171530	ENSG00000171530.16	ENST00000520361	ENST00000520361.5	tbca	21	7545062	7570765				
ENSG00000171530	ENSG00000171530.16	ENST00000517881	ENST00000517881.1	tbca	21	7545062	7570765				
ENSG00000171530	ENSG00000171530.16	ENST00000651106	ENST00000651106.1	tbca	21	7545062	7570765				
ENSG00000171530	ENSG00000171530.16	ENST00000518338	ENST00000518338.6	tbca	21	7545062	7570765				
ENSG00000171530	ENSG00000171530.16	ENST00000522370	ENST00000522370.1	tbca	21	7545062	7570765				
ENSG00000171530	ENSG00000171530.16	ENST00000520039	ENST00000520039.1	tbca	21	7545062	7570765				
ENSG00000171530	ENSG00000171530.16	ENST00000932727	ENST00000932727.1	tbca	21	7545062	7570765				
ENSG00000171530	ENSG00000171530.16	ENST00000932728	ENST00000932728.1	tbca	21	7545062	7570765				
ENSG00000171530	ENSG00000171530.16	ENST00000932729	ENST00000932729.1	tbca	21	7545062	7570765				
ENSG00000153037	ENSG00000153037.16	ENST00000503445	ENST00000503445.5	srp19	8	537809	544787	SRP19	Z	46677009	46686627
ENSG00000153037	ENSG00000153037.16	ENST00000505459	ENST00000505459.6	srp19	8	537809	544787	SRP19	Z	46677009	46686627
ENSG00000153037	ENSG00000153037.16	ENST00000506997	ENST00000506997.2	srp19	8	537809	544787	SRP19	Z	46677009	46686627
ENSG00000153037	ENSG00000153037.16	ENST00000282999	ENST00000282999.7	srp19	8	537809	544787	SRP19	Z	46677009	46686627
ENSG00000153037	ENSG00000153037.16	ENST00000391338	ENST00000391338.3	srp19	8	537809	544787	SRP19	Z	46677009	46686627
ENSG00000153037	ENSG00000153037.16	ENST00000515463	ENST00000515463.1	srp19	8	537809	544787	SRP19	Z	46677009	46686627
ENSG00000153037	ENSG00000153037.16	ENST00000621420	ENST00000621420.5	srp19	8	537809	544787	SRP19	Z	46677009	46686627
ENSG00000153037	ENSG00000153037.16	ENST00000515755	ENST00000515755.1	srp19	8	537809	544787	SRP19	Z	46677009	46686627
ENSG00000153037	ENSG00000153037.16	ENST00000445150	ENST00000445150.3	srp19	8	537809	544787	SRP19	Z	46677009	46686627
ENSG00000153037	ENSG00000153037.16	ENST00000506987	ENST00000506987.1	srp19	8	537809	544787	SRP19	Z	46677009	46686627
ENSG00000153037	ENSG00000153037.16	ENST00000509024	ENST00000509024.2	srp19	8	537809	544787	SRP19	Z	46677009	46686627
ENSG00000153037	ENSG00000153037.16	ENST00000504696	ENST00000504696.1	srp19	8	537809	544787	SRP19	Z	46677009	46686627
ENSG00000153037	ENSG00000153037.16	ENST00000937586	ENST00000937586.1	srp19	8	537809	544787	SRP19	Z	46677009	46686627
ENSG00000086189	ENSG00000086189.12	ENST00000651114	ENST00000651114.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000199320	ENST00000199320.9	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000680214	ENST00000680214.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000680062	ENST00000680062.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000514605	ENST00000514605.2	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000681244	ENST00000681244.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000680267	ENST00000680267.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000681393	ENST00000681393.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000679751	ENST00000679751.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000681192	ENST00000681192.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000680960	ENST00000680960.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000681272	ENST00000681272.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000681672	ENST00000681672.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000509182	ENST00000509182.2	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000680785	ENST00000680785.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000506390	ENST00000506390.5	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000514911	ENST00000514911.5	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000680836	ENST00000680836.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000879667	ENST00000879667.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000879668	ENST00000879668.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000879669	ENST00000879669.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000879670	ENST00000879670.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000928006	ENST00000928006.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000945265	ENST00000945265.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000086189	ENSG00000086189.12	ENST00000945266	ENST00000945266.1	dimt1l	8	17184602	17193041	DIMT1	Z	20029977	20040554
ENSG00000095015	ENSG00000095015.7	ENST00000399503	ENST00000399503.4	map3k1	10	5954787	6004863	MAP3K1	Z	17948529	18006015
ENSG00000095015	ENSG00000095015.7	ENST00000469188	ENST00000469188.1	map3k1	10	5954787	6004863	MAP3K1	Z	17948529	18006015
ENSG00000095015	ENSG00000095015.7	ENST00000872824	ENST00000872824.1	map3k1	10	5954787	6004863	MAP3K1	Z	17948529	18006015
ENSG00000095015	ENSG00000095015.7	ENST00000872825	ENST00000872825.1	map3k1	10	5954787	6004863	MAP3K1	Z	17948529	18006015
ENSG00000095015	ENSG00000095015.7	ENST00000948659	ENST00000948659.1	map3k1	10	5954787	6004863	MAP3K1	Z	17948529	18006015
ENSG00000113552	ENSG00000113552.17	ENST00000513454	ENST00000513454.5	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000311337	ENST00000311337.11	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000500692	ENST00000500692.6	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000508177	ENST00000508177.5	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000503794	ENST00000503794.5	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000504139	ENST00000504139.5	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000505689	ENST00000505689.5	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000515747	ENST00000515747.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000507559	ENST00000507559.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000510194	ENST00000510194.5	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000503229	ENST00000503229.5	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000507107	ENST00000507107.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000504424	ENST00000504424.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000862713	ENST00000862713.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000862714	ENST00000862714.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000862715	ENST00000862715.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000862716	ENST00000862716.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000862717	ENST00000862717.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000862718	ENST00000862718.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000862719	ENST00000862719.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000862720	ENST00000862720.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000862721	ENST00000862721.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000862722	ENST00000862722.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000862723	ENST00000862723.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000862724	ENST00000862724.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000862725	ENST00000862725.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000862726	ENST00000862726.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000862727	ENST00000862727.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000927689	ENST00000927689.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000927690	ENST00000927690.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000927691	ENST00000927691.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000927692	ENST00000927692.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000927693	ENST00000927693.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000927694	ENST00000927694.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000951013	ENST00000951013.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000113552	ENSG00000113552.17	ENST00000951014	ENST00000951014.1	gnpda1	14	23709134	23715349	GNPDA1	13	16778712	16783718
ENSG00000131459	ENSG00000131459.14	ENST00000253778	ENST00000253778.13	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000131459	ENSG00000131459.14	ENST00000520165	ENST00000520165.1	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000131459	ENSG00000131459.14	ENST00000510122	ENST00000510122.1	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000131459	ENSG00000131459.14	ENST00000518906	ENST00000518906.1	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000131459	ENSG00000131459.14	ENST00000518185	ENST00000518185.1	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000131459	ENSG00000131459.14	ENST00000518158	ENST00000518158.5	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000131459	ENSG00000131459.14	ENST00000503546	ENST00000503546.1	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000131459	ENSG00000131459.14	ENST00000503228	ENST00000503228.1	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000131459	ENSG00000131459.14	ENST00000889625	ENST00000889625.1	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000131459	ENSG00000131459.14	ENST00000889626	ENST00000889626.1	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000131459	ENSG00000131459.14	ENST00000889627	ENST00000889627.1	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000131459	ENSG00000131459.14	ENST00000920226	ENST00000920226.1	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000131459	ENSG00000131459.14	ENST00000920227	ENST00000920227.1	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000131459	ENSG00000131459.14	ENST00000920228	ENST00000920228.1	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000131459	ENSG00000131459.14	ENST00000920229	ENST00000920229.1	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000131459	ENSG00000131459.14	ENST00000920230	ENST00000920230.1	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000131459	ENSG00000131459.14	ENST00000953747	ENST00000953747.1	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000131459	ENSG00000131459.14	ENST00000953748	ENST00000953748.1	gfpt2	21	32390707	32436679	GFPT2	13	13521291	13602622
ENSG00000040275	ENSG00000040275.18	ENST00000506574	ENST00000506574.5	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000515224	ENST00000515224.5	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000507232	ENST00000507232.5	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000629457	ENST00000629457.2	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000510751	ENST00000510751.5	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000508247	ENST00000508247.5	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000503209	ENST00000503209.1	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000265295	ENST00000265295.9	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000513941	ENST00000513941.5	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000509785	ENST00000509785.5	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000512028	ENST00000512028.5	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000513795	ENST00000513795.1	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000508837	ENST00000508837.1	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000503871	ENST00000503871.1	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
ENSG00000040275	ENSG00000040275.18	ENST00000505977	ENST00000505977.1	spdl1	14	38810385	38843690	SPDL1	13	3764606	3787552
